"position","const","created","modified","description","Title","Title.type","Directors","ForPeopleNotSheeple.rated","IMDb.Rating","Runtime..mins.","Year","Genres","Num..Votes","Release.Date..month.day.year.","URL","id"
4218,"tt0069957","Mon Apr 22 18:37:12 2013","Mon Apr 22 18:37:12 2013","","Deep Throat Part II","Feature Film","Joe Sarno",NA,4.6,88,"1974","comedy",340,"1974-02","http://www.imdb.com/title/tt0069957/","0069957"
1887,"tt0102803","Mon Apr 22 18:29:30 2013","Mon Apr 22 18:29:30 2013","","The Rocketeer","Feature Film","Joe Johnston",NA,6.4,108,"1991","action, adventure, comedy, family, sci_fi",42050,"1991-06-19","http://www.imdb.com/title/tt0102803/","0102803"
7289,"tt0381429","Thu Apr 25 03:00:31 2013","Thu Apr 25 03:00:31 2013","","Somersault","Feature Film","Cate Shortland",NA,6.8,106,"2004","drama, romance",6099,"2004-05-17","http://www.imdb.com/title/tt0381429/","0381429"
6952,"tt0086465","Thu Apr 25 02:59:03 2013","Thu Apr 25 02:59:03 2013","","Trading Places","Feature Film","John Landis",8,7.5,116,"1983","comedy",95752,"1983-06-08","http://www.imdb.com/title/tt0086465/","0086465"
7547,"tt0071913","Thu Apr 25 03:01:33 2013","Thu Apr 25 03:01:33 2013","","The Nine Lives of Fritz the Cat","Feature Film","Robert Taylor",NA,5.4,77,"1974","animation, comedy",1904,"1974-06-26","http://www.imdb.com/title/tt0071913/","0071913"
2845,"tt0088993","Mon Apr 22 18:31:50 2013","Mon Apr 22 18:31:50 2013","","Day of the Dead","Feature Film","George A. Romero",NA,7.2,96,"1985","action, horror",47080,"1985-07-03","http://www.imdb.com/title/tt0088993/","0088993"
3343,"tt0430779","Mon Apr 22 18:34:19 2013","Mon Apr 22 18:34:19 2013","","Everyone's Hero","Feature Film","Colin Brady, Christopher Reeve",NA,5.8,88,"2006","animation, adventure, comedy, family, sport",5918,"2006-09-15","http://www.imdb.com/title/tt0430779/","0430779"
7811,"tt0358273","Mon Apr 29 17:38:36 2013","Mon Apr 29 17:38:36 2013","","Walk the Line","Feature Film","James Mangold",8,7.9,136,"2005","biography, drama, music, romance",180516,"2005-09-04","http://www.imdb.com/title/tt0358273/","0358273"
1352,"tt0424345","Mon Apr 22 18:27:59 2013","Mon Apr 22 18:27:59 2013","","Clerks II","Feature Film","Kevin Smith",NA,7.4,97,"2006","comedy",110624,"2006-05-26","http://www.imdb.com/title/tt0424345/","0424345"
7072,"tt1614989","Thu Apr 25 02:59:05 2013","Thu Apr 25 02:59:05 2013","","Headhunters","Feature Film","Morten Tyldum",4,7.6,100,"2011","crime, thriller",73941,"2011-08-04","http://www.imdb.com/title/tt1614989/","1614989"
4580,"tt0105226","Mon Apr 22 18:37:51 2013","Mon Apr 22 18:37:51 2013","","Red Rock West","Feature Film","John Dahl",6,7,98,"1993","crime, drama, thriller",14892,"1993-05-14","http://www.imdb.com/title/tt0105226/","0105226"
5999,"tt0105001","Mon Apr 22 18:41:46 2013","Mon Apr 22 18:41:46 2013","","Night and the City","Feature Film","Irwin Winkler",NA,5.8,105,"1992","comedy, crime, drama",3627,"1992-10-11","http://www.imdb.com/title/tt0105001/","0105001"
1313,"tt0146984","Mon Apr 22 18:27:58 2013","Mon Apr 22 18:27:58 2013","","The Legend of Bagger Vance","Feature Film","Robert Redford",7,6.7,126,"2000","drama, fantasy, sport",43275,"2000-10-29","http://www.imdb.com/title/tt0146984/","0146984"
6470,"tt0079843","Mon Apr 22 18:43:10 2013","Mon Apr 22 18:43:10 2013","","Saint Jack","Feature Film","Peter Bogdanovich",NA,7.1,112,"1979","drama",872,"1979-04-27","http://www.imdb.com/title/tt0079843/","0079843"
3608,"tt0418647","Mon Apr 22 18:35:16 2013","Mon Apr 22 18:35:16 2013","","Dreamer: Inspired by a True Story","Feature Film","John Gatins",NA,6.9,106,"2005","drama, family, sport",9623,"2005-09-10","http://www.imdb.com/title/tt0418647/","0418647"
7056,"tt0139134","Thu Apr 25 02:59:04 2013","Thu Apr 25 02:59:04 2013","","Cruel Intentions","Feature Film","Roger Kumble",7,6.9,97,"1999","drama, romance",142231,"1999-03-05","http://www.imdb.com/title/tt0139134/","0139134"
3182,"tt1100053","Mon Apr 22 18:33:51 2013","Mon Apr 22 18:33:51 2013","","Tormented","Feature Film","Jon Wright",NA,5.2,91,"2009","horror",5255,"2009-05-22","http://www.imdb.com/title/tt1100053/","1100053"
1905,"tt0112818","Mon Apr 22 18:29:31 2013","Mon Apr 22 18:29:31 2013","","Dead Man Walking","Feature Film","Tim Robbins",NA,7.6,122,"1995","crime, drama",70319,"1995-12-29","http://www.imdb.com/title/tt0112818/","0112818"
5145,"tt0119517","Mon Apr 22 18:39:24 2013","Mon Apr 22 18:39:24 2013","","Your Friends & Neighbors","Feature Film","Neil LaBute",NA,6.4,100,"1998","comedy, drama",6945,"1998-08-19","http://www.imdb.com/title/tt0119517/","0119517"
1030,"tt1598873","Mon Apr 22 18:27:04 2013","Mon Apr 22 18:27:04 2013","","Cleanskin","Feature Film","Hadi Hajaig",NA,6.3,108,"2012","crime, drama, thriller",16940,"2012-03-09","http://www.imdb.com/title/tt1598873/","1598873"
7104,"tt0081633","Thu Apr 25 02:59:57 2013","Thu Apr 25 02:59:57 2013","","Time Bandits","Feature Film","Terry Gilliam",NA,7,116,"1981","adventure, comedy, fantasy, sci_fi",43338,"1981-07-10","http://www.imdb.com/title/tt0081633/","0081633"
3212,"tt0978759","Mon Apr 22 18:33:51 2013","Mon Apr 22 18:33:51 2013","","Frozen River","Feature Film","Courtney Hunt",NA,7.2,97,"2008","crime, drama",21158,"2008-01-18","http://www.imdb.com/title/tt0978759/","0978759"
8938,"tt0107065","Mon Apr 29 19:23:54 2013","Mon Apr 29 19:23:54 2013","","Gypsy","TV Movie","Emile Ardolino",NA,7.3,153,"1993","biography, comedy, drama, musical",1213,"1993-12-12","http://www.imdb.com/title/tt0107065/","0107065"
7243,"tt0281190","Thu Apr 25 02:59:59 2013","Thu Apr 25 02:59:59 2013","","Shottas","Feature Film","Cess Silvera",NA,6.1,95,"2002","action, crime, drama",3223,"2002-02-27","http://www.imdb.com/title/tt0281190/","0281190"
6297,"tt0076211","Mon Apr 22 18:42:40 2013","Mon Apr 22 18:42:40 2013","","Islands in the Stream","Feature Film","Franklin J. Schaffner",NA,6.6,104,"1977","drama",964,"1977-03-09","http://www.imdb.com/title/tt0076211/","0076211"
445,"tt0378194","Mon Apr 22 18:25:33 2013","Mon Apr 22 18:25:33 2013","","Kill Bill: Vol. 2","Feature Film","Quentin Tarantino",8,8,137,"2004","action, crime, thriller",473208,"2004-04-16","http://www.imdb.com/title/tt0378194/","0378194"
5250,"tt0106868","Mon Apr 22 18:39:51 2013","Mon Apr 22 18:39:51 2013","","A Far Off Place","Feature Film","Mikael Salomon",NA,6.6,100,"1993","adventure, drama, family, romance",2714,"1993-03-12","http://www.imdb.com/title/tt0106868/","0106868"
5613,"tt0087265","Mon Apr 22 18:40:48 2013","Mon Apr 22 18:40:48 2013","","The Flamingo Kid","Feature Film","Garry Marshall",NA,6.2,100,"1984","comedy, drama, romance",3807,"1984-12-21","http://www.imdb.com/title/tt0087265/","0087265"
6571,"tt0072706","Mon Apr 22 18:43:42 2013","Mon Apr 22 18:43:42 2013","","The Black Bird","Feature Film","David Giler",NA,5.3,110,"1975","comedy",362,"1975-12-25","http://www.imdb.com/title/tt0072706/","0072706"
4975,"tt0083951","Mon Apr 22 18:38:56 2013","Mon Apr 22 18:38:56 2013","","The Flight of Dragons","Feature Film","Jules Bass, Arthur Rankin Jr.",NA,7.8,96,"1982","animation, adventure, family, fantasy, romance",4249,"1982-08-17","http://www.imdb.com/title/tt0083951/","0083951"
5752,"tt0072732","Mon Apr 22 18:40:50 2013","Mon Apr 22 18:40:50 2013","","Brannigan","Feature Film","Douglas Hickox",NA,6.1,111,"1975","action, comedy, crime",3591,"1975-03-21","http://www.imdb.com/title/tt0072732/","0072732"
403,"tt0105695","Mon Apr 22 18:25:33 2013","Mon Apr 22 18:25:33 2013","","Unforgiven","Feature Film","Clint Eastwood",10,8.3,131,"1992","western",256631,"1992-08-03","http://www.imdb.com/title/tt0105695/","0105695"
2238,"tt0109045","Mon Apr 22 18:29:59 2013","Mon Apr 22 18:29:59 2013","","The Adventures of Priscilla, Queen of the Desert","Feature Film","Stephan Elliott",NA,7.5,104,"1994","comedy, music",34721,"1994-01-30","http://www.imdb.com/title/tt0109045/","0109045"
876,"tt0106489","Mon Apr 22 18:27:02 2013","Mon Apr 22 18:27:02 2013","","A Bronx Tale","Feature Film","Robert De Niro",8,7.8,121,"1993","crime, drama",92985,"1993-09-09","http://www.imdb.com/title/tt0106489/","0106489"
566,"tt0116996","Mon Apr 22 18:26:02 2013","Mon Apr 22 18:26:02 2013","","Mars Attacks!","Feature Film","Tim Burton",NA,6.3,106,"1996","comedy, sci_fi",162357,"1996-12-12","http://www.imdb.com/title/tt0116996/","0116996"
5669,"tt0165831","Mon Apr 22 18:40:49 2013","Mon Apr 22 18:40:49 2013","","Held Up","Feature Film","Steve Rash",NA,5.1,89,"1999","comedy",2772,"1999-10-08","http://www.imdb.com/title/tt0165831/","0165831"
